 07/30-10:21	2148.600	2151.600	2148.200	2150.600	           5285	     66.000	   2152.792	   2157.552	   2150.840	   2147.871	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -2.192	      0.000	      0.000	      0.000	
 07/30-10:22	2150.200	2152.200	2149.600	2151.400	           3149	     67.000	   2152.450	   2157.433	   2150.943	   2147.880	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -1.050	      0.000	      0.000	      0.000	
 07/30-10:23	2152.000	2152.800	2151.000	2152.000	           3041	     68.000	   2152.183	   2157.313	   2151.076	   2147.877	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -0.183	      0.000	      0.000	      0.000	
 07/30-10:24	2152.000	2152.800	2151.000	2152.800	           2194	     69.000	   2151.975	   2157.173	   2151.216	   2147.872	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.825	      0.000	      0.000	      0.000	
 07/30-10:25	2152.600	2154.800	2152.400	2154.800	           3460	     70.000	   2151.846	   2157.113	   2151.375	   2147.896	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      2.954	      0.000	      0.000	      0.000	
 07/30-10:26	2154.600	2156.600	2154.200	2155.200	           5898	     71.000	   2151.767	   2156.921	   2151.544	   2147.918	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      3.433	      0.000	      0.000	      0.000	
 07/30-10:27	2155.000	2158.800	2154.800	2157.800	           5321	     72.000	   2151.792	   2156.746	   2151.726	   2147.940	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      6.008	      0.000	      0.000	      0.000	
 07/30-10:28	2157.800	2158.000	2155.400	2156.000	           3060	     73.000	   2151.804	   2156.517	   2151.906	   2147.972	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      4.196	      0.000	      0.000	      0.000	
 07/30-10:29	2156.200	2158.400	2155.400	2157.800	           3443	     74.000	   2151.929	   2156.331	   2152.114	   2148.010	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      5.871	      0.000	      0.000	      0.000	
 07/30-10:30	2158.000	2160.000	2157.000	2159.400	           5329	     75.000	   2152.100	   2156.198	   2152.328	   2148.051	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      7.300	      0.000	      0.000	      0.000	
 07/30-10:31	2159.000	2159.400	2158.200	2158.800	           2337	     76.000	   2152.325	   2156.052	   2152.522	   2148.064	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      6.475	      0.000	      0.000	      0.000	
 07/30-10:32	2159.200	2161.400	2158.400	2160.200	           3716	     77.000	   2152.608	   2155.917	   2152.737	   2148.101	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      7.592	      0.000	      0.000	      0.000	
