 10/11-10:30	2456.600	2458.200	2454.600	2454.600	           5547	     75.000	           	           	   2461.167	   2453.597	   2442.158	           	           	     -0.126	      0.221	      0.480	      0.000	
 10/11-10:31	2454.800	2456.600	2454.000	2455.800	           4353	     76.000	           	           	   2461.180	   2453.823	   2442.400	           	           	      0.013	      0.227	      0.475	      0.000	
 10/11-10:32	2455.600	2458.200	2455.600	2456.600	           3118	     77.000	           	           	   2461.259	   2454.083	   2442.641	           	           	      0.079	      0.259	      0.483	      0.000	
 10/11-10:33	2456.600	2457.800	2456.400	2457.400	           1800	     78.000	           	           	   2461.387	   2454.360	   2442.885	           	           	      0.128	      0.278	      0.485	      0.000	
 10/11-10:34	2457.200	2458.400	2456.200	2456.800	           2118	     79.000	           	           	   2461.521	   2454.644	   2443.125	           	           	      0.133	      0.283	      0.484	      0.000	
 10/11-10:35	2456.800	2458.000	2455.600	2456.600	           2405	     80.000	           	           	   2461.559	   2454.950	   2443.367	           	           	      0.039	      0.306	      0.481	      0.000	
 10/11-10:36	2456.400	2458.000	2456.400	2456.800	           1913	     81.000	           	           	   2461.540	   2455.223	   2443.577	           	           	     -0.020	      0.273	      0.451	      0.000	
 10/11-10:37	2456.600	2458.000	2456.200	2456.200	           2028	     82.000	           	           	   2461.553	   2455.490	   2443.800	           	           	      0.014	      0.266	      0.433	      0.000	
 10/11-10:38	2456.200	2457.000	2454.200	2454.800	           3122	     83.000	           	           	   2461.400	   2455.753	   2444.033	           	           	     -0.153	      0.264	      0.457	      0.000	
 10/11-10:39	2454.200	2456.200	2453.000	2453.400	           4367	     84.000	           	           	   2461.006	   2455.980	   2444.288	           	           	     -0.394	      0.227	      0.488	      0.000	
 10/11-10:40	2453.400	2454.400	2451.000	2453.200	           5500	     85.000	           	           	   2460.621	   2456.194	   2444.534	           	           	     -0.385	      0.214	      0.500	      0.000	
 10/11-10:41	2452.800	2454.200	2452.200	2452.600	           2328	     86.000	           	           	   2460.200	   2456.437	   2444.772	           	           	     -0.421	      0.243	      0.484	      0.000	
 10/11-10:42	2453.000	2454.000	2452.400	2452.600	           2170	     87.000	           	           	   2459.747	   2456.680	   2445.007	           	           	     -0.453	      0.244	      0.473	      0.000	
