 08/19-09:46	2304.000	2305.200	2302.400	2303.400	           3801	     31.000	   2299.453	   2314.220	   2323.282	           	      0.294	     -0.450	     -0.376	      0.000	     31.000	   2301.119	   2299.453	   2314.220	   2323.282	           	           	      0.000	     23.829	      0.000	           	      0.000	           	     -0.952	           	    -14.767	           	      3.947	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:47	2303.200	2304.400	2302.200	2304.200	           2100	     32.000	   2299.786	   2313.780	   2323.058	           	      0.333	     -0.440	     -0.445	      0.000	     32.000	   2302.156	   2299.786	   2313.780	   2323.058	           	           	      0.000	     23.272	      0.000	           	      0.000	           	     -0.859	           	    -13.993	           	      4.414	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:48	2303.800	2303.800	2300.200	2301.600	           2719	     33.000	   2299.874	   2313.297	   2322.815	           	      0.088	     -0.483	     -0.467	      0.000	     33.000	   2302.762	   2299.874	   2313.297	   2322.815	           	           	      0.000	     22.941	      0.000	           	      0.000	           	     -0.843	           	    -13.423	           	      1.726	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:49	2302.000	2304.400	2301.400	2304.200	           2029	     34.000	   2299.920	   2312.860	   2322.590	           	      0.046	     -0.437	     -0.468	      0.000	     34.000	   2303.563	   2299.920	   2312.860	   2322.590	           	           	      0.000	     22.670	      0.000	           	      0.000	           	     -0.913	           	    -12.940	           	      4.280	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:50	2304.200	2305.000	2300.400	2301.400	           2266	     35.000	   2299.947	   2312.380	   2322.348	           	      0.027	     -0.480	     -0.467	      0.000	     35.000	   2302.962	   2299.947	   2312.380	   2322.348	           	           	      0.000	     22.402	      0.000	           	      0.000	           	     -0.933	           	    -12.433	           	      1.453	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:51	2300.800	2301.400	2297.200	2298.800	           4211	     36.000	   2299.826	   2311.853	   2322.077	           	     -0.121	     -0.527	     -0.513	      0.000	     36.000	   2302.038	   2299.826	   2311.853	   2322.077	           	           	      0.000	     22.251	      0.000	           	      0.000	           	     -0.981	           	    -12.027	           	     -1.026	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:52	2298.800	2303.400	2298.600	2300.600	           2040	     37.000	   2299.874	   2311.357	   2321.815	           	      0.048	     -0.496	     -0.533	      0.000	     37.000	   2301.325	   2299.874	   2311.357	   2321.815	           	           	      0.000	     21.941	      0.000	           	      0.000	           	     -1.000	           	    -11.483	           	      0.726	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:53	2300.600	2302.000	2299.600	2302.000	           1524	     38.000	   2299.907	   2310.887	   2321.555	           	      0.033	     -0.470	     -0.521	      0.000	     38.000	   2301.400	   2299.907	   2310.887	   2321.555	           	           	      0.000	     21.648	      0.000	           	      0.000	           	     -1.035	           	    -10.980	           	      2.093	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:54	2302.000	2302.800	2299.000	2302.400	           2159	     39.000	   2299.959	   2310.420	   2321.290	           	      0.052	     -0.467	     -0.525	      0.000	     39.000	   2301.038	   2299.959	   2310.420	   2321.290	           	           	      0.000	     21.330	      0.000	           	      0.000	           	     -1.059	           	    -10.460	           	      2.440	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:55	2302.400	2304.200	2301.800	2304.000	           3376	     40.000	   2300.120	   2309.980	   2321.023	           	      0.160	     -0.440	     -0.532	      0.000	     40.000	   2301.556	   2300.120	   2309.980	   2321.023	           	           	      0.000	     20.903	      0.000	           	      0.000	           	     -1.053	           	     -9.860	           	      3.880	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
