 06/04-10:32	2573.400	2576.400	2573.400	2575.800	           6071	     77.000	           	           	   2574.200	           	   2574.154	   2576.897	   2585.692	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:33	2575.800	2576.800	2575.400	2576.000	           2553	     78.000	           	           	   2574.200	           	   2574.046	   2576.777	   2585.542	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:34	2576.000	2578.400	2576.000	2578.400	           3381	     79.000	           	           	   2574.200	           	   2574.006	   2576.663	   2585.410	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:35	2578.200	2578.200	2576.800	2577.800	           2248	     80.000	           	           	   2574.200	           	   2573.885	   2576.570	   2585.285	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:36	2577.800	2594.600	2577.600	2589.200	          19326	     81.000	           	           	   2574.200	           	   2574.246	   2576.646	   2585.251	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:37	2589.200	2589.200	2584.000	2584.600	           6318	     82.000	           	           	   2574.200	           	   2574.473	   2576.643	   2585.190	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:38	2585.000	2585.000	2582.200	2584.400	           3786	     83.000	           	           	   2574.200	           	   2574.706	   2576.626	   2585.121	   2595.082	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:39	2584.600	2585.200	2583.400	2584.600	           2507	     84.000	           	           	   2574.200	           	   2574.973	   2576.653	   2585.062	   2594.958	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:40	2584.200	2584.600	2583.200	2583.400	           1675	     85.000	           	           	   2574.200	           	   2575.206	   2576.670	   2584.978	   2594.822	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:41	2583.200	2583.600	2581.400	2582.600	           2715	     86.000	           	           	   2574.200	           	   2575.400	   2576.673	   2584.888	   2594.694	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
